col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr
actor.last_name,inventory.last_update,actor,inventory,0.725395,0.197231,0.636364,0.038558,0.677965
actor.last_name,language.language_id,actor,language,0.298850,0.081256,0.272727,0.036638,0.434231
actor.last_name,language.name,actor,language,0.049947,0.013580,0.444444,0.030536,0.579938
actor.last_name,language.last_update,actor,language,0.725395,0.197231,0.636364,0.027608,0.677965
actor.last_name,payment.payment_id,actor,payment,0.298850,0.081256,0.200000,0.023061,0.379686
actor.last_name,payment.customer_id,actor,payment,0.298850,0.081256,0.181818,0.036050,0.366050
actor.last_name,payment.staff_id,actor,payment,0.500245,0.136014,0.111111,0.025057,0.299330
actor.last_name,payment.rental_id,actor,payment,0.330563,0.089878,0.111111,0.023464,0.310864
actor.last_name,payment.amount,actor,payment,0.342254,0.093057,0.222222,0.023438,0.393402
actor.last_name,payment.payment_date,actor,payment,0.070519,0.019174,0.416667,0.017146,0.557707
actor.last_name,payment.last_update,actor,payment,0.070519,0.019174,0.636364,0.017746,0.722480
actor.last_name,rental.rental_id,actor,rental,0.298850,0.081256,0.111111,0.039781,0.313019
actor.last_name,rental.rental_date,actor,rental,0.070519,0.019174,0.363636,0.027481,0.517934
actor.last_name,rental.inventory_id,actor,rental,0.286884,0.078002,0.083333,0.040887,0.292999
actor.last_name,rental.customer_id,actor,rental,0.286317,0.077848,0.181818,0.035479,0.366901
actor.last_name,rental.return_date,actor,rental,0.070519,0.019174,0.272727,0.030944,0.449752
actor.last_name,rental.staff_id,actor,rental,0.500245,0.136014,0.111111,0.034930,0.299330
actor.last_name,rental.last_update,actor,rental,0.414386,0.112669,0.636364,0.026709,0.699106
actor.last_name,staff.staff_id,actor,staff,0.500245,0.136014,0.111111,0.026377,0.299330
actor.last_name,staff.first_name,actor,staff,0.400639,0.108932,0.700000,0.021768,0.747767
actor.last_name,staff.last_name,actor,staff,0.400598,0.108921,1.000000,0.020742,0.972770
actor.last_name,staff.address_id,actor,staff,0.560838,0.152489,0.000000,0.024285,0.211878
actor.last_name,staff.picture,actor,staff,1.855693,0.504554,0.222222,0.031846,0.290528
actor.last_name,staff.email,actor,staff,0.414526,0.112708,0.111111,0.019729,0.305156
actor.last_name,staff.store_id,actor,staff,0.500245,0.136014,0.111111,0.023565,0.299330
actor.last_name,staff.active,actor,staff,0.725337,0.197216,0.333333,0.029708,0.450696
actor.last_name,staff.username,actor,staff,0.400639,0.108932,0.555556,0.025753,0.639434
actor.last_name,staff.password,actor,staff,0.725722,0.197320,0.222222,0.022775,0.367336
actor.last_name,staff.last_update,actor,staff,0.725395,0.197231,0.636364,0.020382,0.677965
actor.last_name,store.store_id,actor,store,0.500245,0.136014,0.111111,0.026772,0.299330
actor.last_name,store.manager_staff_id,actor,store,0.500245,0.136014,0.187500,0.027405,0.356621
actor.last_name,store.address_id,actor,store,0.500245,0.136014,0.000000,0.022783,0.215996
actor.last_name,store.last_update,actor,store,0.725395,0.197231,0.636364,0.024913,0.677965
actor.last_update,address.address_id,actor,address,0.618836,0.168258,0.090909,0.028656,0.276117
actor.last_update,address.address,actor,address,0.707855,0.192462,0.090909,0.020488,0.270066
actor.last_update,address.address2,actor,address,0.731127,0.198790,0.090909,0.030105,0.268484
actor.last_update,address.district,actor,address,0.718275,0.195295,0.272727,0.020400,0.405721
actor.last_update,address.city_id,actor,address,0.630592,0.171455,0.181818,0.022892,0.343500
actor.last_update,address.postal_code,actor,address,0.618301,0.168113,0.272727,0.025932,0.412517
actor.last_update,address.phone,actor,address,2.604073,0.708034,0.181818,0.029814,0.209355
actor.last_update,address.last_update,actor,address,0.655529,0.178235,1.000000,0.020265,0.955441
actor.last_update,category.category_id,actor,category,0.618836,0.168258,0.090909,0.045617,0.276117
actor.last_update,category.name,actor,category,0.687816,0.187014,0.181818,0.048479,0.339610
actor.last_update,category.last_update,actor,category,0.000000,0.000000,1.000000,0.034835,1.000000
actor.last_update,city.city_id,actor,city,0.618836,0.168258,0.181818,0.028170,0.344299
actor.last_update,city.city,actor,city,0.817541,0.222285,0.090909,0.016815,0.262610
actor.last_update,city.country_id,actor,city,0.676041,0.183812,0.000000,0.020802,0.204047
actor.last_update,city.last_update,actor,city,0.000000,0.000000,1.000000,0.027351,1.000000
actor.last_update,customer.customer_id,actor,customer,0.618836,0.168258,0.181818,0.054848,0.344299
actor.last_update,customer.store_id,actor,customer,0.427078,0.116120,0.181818,0.045431,0.357333
actor.last_update,customer.first_name,actor,customer,0.705706,0.191878,0.363636,0.042214,0.474758
actor.last_update,customer.last_name,actor,customer,0.689606,0.187500,0.636364,0.040524,0.680398
actor.last_update,customer.email,actor,customer,0.711298,0.193398,0.090909,0.036619,0.269832
actor.last_update,customer.address_id,actor,customer,0.665423,0.180925,0.090909,0.044358,0.272950
actor.last_update,customer.active,actor,customer,0.311289,0.084638,0.272727,0.053563,0.433386
actor.last_update,customer.create_date,actor,customer,0.311009,0.084562,0.363636,0.043214,0.501587
actor.last_update,customer.last_update,actor,customer,0.000000,0.000000,1.000000,0.043161,1.000000
actor.last_update,film.film_id,actor,film,0.618836,0.168258,0.181818,0.059328,0.344299
actor.last_update,film.title,actor,film,0.708455,0.192625,0.181818,0.053907,0.338207
actor.last_update,film.description,actor,film,0.895688,0.243533,0.181818,0.063528,0.325480
actor.last_update,film.release_year,actor,film,0.467589,0.127135,0.250000,0.051620,0.405716
